English Word,Pronunciation,Korean Meaning,Example Sentence
Synposis,sɪˈnɒp.sɪs,"개요, 요약",The session begins with a synopsis of the real estate industry.
contributions,ˌkɒn.trɪˈbjuː.ʃənz,"기여, 공헌",His contributions to the project were invaluable.
terminology,ˌtɜː.mɪˈnɒl.ə.dʒi,전문 용어,Understanding medical terminology is essential for doctors.
mandate,ˈmæn.deɪt,"권한, 임무",The new government has a clear mandate to reduce taxes.
federal,ˈfed.ər.əl,연방의,The federal government announced new policies.
practitioner,prækˈtɪʃ.ən.ər,"실무자, 전문가",She is a legal practitioner specializing in property law.
acquisition,ˌæk.wɪˈzɪʃ.ən,"습득, 취득",The acquisition of new skills is crucial for career growth.
emergence,ɪˈmɜː.dʒəns,"출현, 발생",The emergence of new technologies has changed industries.
span,spæn,"기간, 범위",The bridge has a span of 200 meters.
aristocracies,ˌær.ɪˈstɒk.rə.siz,귀족 계급,The aristocracies of old Europe held immense power.
parallels,ˈpær.ə.lelz,"유사점, 평행",There are many parallels between the two historical events.
proclaimed,prəˈkleɪmd,선언하다,The king proclaimed a new law for his people.
readily,ˈred.ɪ.li,"쉽게, 기꺼이",She readily agreed to help with the project.
municipal,mjuːˈnɪs.ɪ.pəl,지방 자치의,The municipal government is responsible for local services.
element,ˈel.ɪ.mənt,"요소, 성분",Water is an essential element for life.
warehouses,ˈweə.haʊ.zɪz,창고,Goods are stored in large warehouses before distribution.
collectively,kəˈlek.tɪv.li,집단적으로,The employees collectively decided to go on strike.
perspective,pəˈspek.tɪv,"관점, 시각","From his perspective, the deal was beneficial."
accommodate,əˈkɒm.ə.deɪt,"수용하다, 적응하다",The hotel can accommodate up to 500 guests.
sound,saʊnd,"건전한, 타당한",He made a sound decision based on facts.
high-density,haɪ-ˈden.sɪ.ti,고밀도의,High-density housing is common in big cities.
dwelling,ˈdwel.ɪŋ,주거지,The ancient dwelling was carved into the cliffs.
demographics,ˌdem.əˈɡræf.ɪks,인구 통계,The demographics of the country are changing rapidly.
interest rates,ˈɪn.trɪst reɪts,이자율,The bank lowered interest rates to boost borrowing.
define,dɪˈfaɪn,정의하다,Can you define the key terms in this chapter?
distinct,dɪˈstɪŋkt,"뚜렷한, 구별되는",There is a distinct difference between the two styles.
marketplace,ˈmɑː.kɪt.pleɪs,시장,The online marketplace is growing rapidly.
commodity,kəˈmɒd.ə.ti,"상품, 원자재",Oil is a valuable commodity in global trade.
